"","pres_abs","dataset","year_mon","count","year","month","sst","sss","ssh","mld","log_eke","sst_sd","ssh_sd","sss_sd","bathy","rugosity","lon","lat"
"308",0,"marker",May 1998,76,1998,5,8.4459056854248,31.9803466796875,-0.489822089672089,12.2074041366577,-11.9696760177612,0.108855545520782,0.00100061623379588,0.0186886936426163,-67.0299987792969,4.29155683517456,-66.9558005725859,41.5683723864115
"309",0,"marker",Jul 1996,496,1996,7,24.8306827545166,37.1227149963379,-0.0415051728487015,26.0933265686035,-4.38974237442017,0.0794061347842216,0.00872109364718199,0.0572577975690365,-4697.3173828125,67.7803649902344,-31.6933481630795,19.6093963898222
"310",0,"marker",Sep 2001,138,2001,9,28.7206954956055,37.1333961486816,0.303353995084763,19.6844387054443,-2.67390084266663,0.0461221821606159,0.0228206217288971,0.0462458655238152,-5622.23486328125,185.813522338867,-52.142484023763,30.0518159347183
"311",0,"marker",Aug 1996,473,1996,8,26.7592086791992,36.092716217041,0.516373157501221,17.3955516815186,-6.80186986923218,0.00688068894669414,0.0028237639926374,0.00479177292436361,-4953.6123046875,97.369499206543,-67.8683188690255,36.4306909310321
"312",0,"marker",Feb 2008,56,2008,2,25.7652816772461,36.0179443359375,0.293893247842789,40.7422103881836,-4.60686349868774,0.0166531540453434,0.00369632500223815,0.00789624452590942,-5283.857421875,65.0748291015625,-67.7320150793948,21.2558215788628
"313",0,"marker",Apr 1999,68,1999,4,25.228401184082,36.6115303039551,0.137028113007545,22.2785129547119,-4.81706237792969,0.0342388860881329,0.00593827059492469,0.0204834938049316,-5499.98974609375,213.885513305664,-55.190127744492,22.6281255586228
"314",0,"marker",Aug 1996,473,1996,8,28.0658893585205,36.0972938537598,0.289010286331177,18.6162910461426,-1.05492985248566,0.122983582317829,0.0618304498493671,0.0132173495367169,-4230.8349609375,23.4071807861328,-71.5319971613638,36.4635077589347
"315",0,"marker",Jun 2007,430,2007,6,14.7273473739624,35.5891609191895,-0.45808282494545,14.801477432251,-4.62784957885742,0.0212675258517265,0.00831423234194517,0.00327669573016465,-4200.16015625,140.913360595703,-23.4426529199555,49.0302928628928
"316",0,"marker",Sep 2007,131,2007,9,28.1640377044678,36.4436798095703,0.240180671215057,15.7170333862305,-6.71879005432129,0.020687498152256,0.00486145587638021,0.138231083750725,-5179.0322265625,77.1367340087891,-53.2541804133733,19.9526621130264
"317",0,"marker",Mar 1998,45,1998,3,18.6810817718506,36.4741973876953,-0.171514019370079,38.7585105895996,-5.4063606262207,0.0770390704274178,0.007229158654809,0.0250205770134926,-5414.134765625,15.9376363754272,-23.7712134900443,33.1907523231271
"318",0,"marker",Jul 1996,496,1996,7,26.4860076904297,36.3689079284668,-0.0692770183086395,22.1259212493896,-3.73235273361206,0.00552309118211269,0.00372872967272997,0.00625029532238841,-4610.3046875,135.289581298828,-38.2231519597179,11.4327928150508
"319",0,"marker",Jul 2005,402,2005,7,21.9895324707031,36.129337310791,0.0115970335900784,10.6814785003662,-3.31957340240479,0.0279722735285759,0.0177381858229637,0.0124305440112948,-4827.322265625,23.7920932769775,-45.2165842494673,42.9388729499343
"320",0,"marker",Jun 2004,387,2004,6,28.8547325134277,36.231575012207,-0.142216250300407,10.5288858413696,-4.24196004867554,0.00872381124645472,0.0105212656781077,0.0397473573684692,-768.719970703125,69.4509201049805,-87.3267451851932,28.6685521109278
"321",0,"marker",Aug 1993,336,1993,8,27.0704975128174,36.6450996398926,0.173039942979813,27.1614742279053,-4.56084299087524,0.00866467691957951,0.00271730916574597,0.0135579528287053,-4575.40478515625,162.227981567383,-50.6245568201921,19.5242168903786
"322",0,"marker",Aug 2005,272,2005,8,16.7869815826416,34.8826560974121,-0.498062074184418,12.5125894546509,-3.75357246398926,0.0891906842589378,0.0139986509457231,0.0310052558779716,-4017.04760742188,86.290885925293,-36.5053821103773,49.5008289650052
"323",0,"marker",Jun 2006,268,2006,6,25.7125453948975,37.2035903930664,0.062868133187294,23.1940689086914,-4.73571157455444,0.0113948117941618,0.00265664933249354,0.0116322282701731,-4487.919921875,189.4111328125,-42.0873836056652,20.3848135254036
"324",0,"marker",May 2007,57,2007,5,17.6930141448975,36.2422561645508,-0.297555476427078,20.1422176361084,-5.39267444610596,0.213449731469154,0.00796994846314192,0.0262098647654057,-4786.5576171875,229.102844238281,-20.4328207104794,38.5309522993459
"325",0,"marker",Jul 2006,244,2006,7,15.1214027404785,35.4533538818359,-0.460524320602417,15.5644407272339,-5.27971124649048,0.0284707434475422,0.00581678142771125,0.00925043132156134,-3702.84497070312,35.0571174621582,-23.9723506042206,50.7738412924825
"326",0,"marker",May 1999,82,1999,5,19.7753524780273,36.3673820495605,0.377208769321442,20.1422176361084,-5.15494012832642,0.0561360083520412,0.00554069504141808,0.0034120730124414,-5349.71240234375,84.2678070068359,-50.057235400171,37.0434292706444
"327",0,"marker",Jun 2000,447,2000,6,22.9592876434326,36.6634101867676,0.0427259132266045,11.5970344543457,-6.1412501335144,0.00300758332014084,0.00340562197379768,0.0122338673099875,-3511.52490234375,234.008682250977,-36.9634631519342,31.9589598915323
"328",0,"marker",Aug 1994,359,1994,8,20.4191722869873,36.068302154541,-0.340281367301941,14.4962930679321,-6.37726402282715,0.0207651499658823,0.0017331182025373,0.00633764453232288,-5320.857421875,7.50209426879883,-12.9397690200504,40.5934699309121
"329",0,"marker",Sep 2005,102,2005,9,27.0104370117188,36.6039009094238,0.209356978535652,20.7525882720947,-5.82511234283447,0.0204953551292419,0.00573796685785055,0.0118470964953303,-4574.60986328125,107.386833190918,-60.687878611982,32.2288819318886
"330",0,"marker",Jun 1997,870,1997,6,26.622974395752,36.8816184997559,0.146488845348358,13.7333297729492,-6.16933679580688,0.0139153692871332,0.00129878078587353,0.0365753807127476,-4793.642578125,82.6654281616211,-51.4543735144633,21.4395979444559
"331",0,"marker",Nov 2011,14,2011,11,16.4324779510498,35.912654876709,-0.175481423735619,62.8681335449219,-6.9588451385498,0.109279111027718,0.00551448436453938,0.00770554598420858,-4228.4599609375,117.090789794922,-35.1885324088112,42.9239657294813
"332",0,"marker",Jul 1993,593,1993,7,28.0871295928955,36.9426574707031,0.0976592302322388,11.2918491363525,-6.44809770584106,0.023015083745122,0.00187163602095097,0.0126854907721281,-6106.66259765625,277.080627441406,-55.4403722473111,26.0818205211188
"333",0,"marker",Jul 1999,350,1999,7,27.0331439971924,37.0860939025879,0.138248845934868,11.5970344543457,-4.98264789581299,0.00150997249875218,0.00738634821027517,0.0122655471786857,-4952,168.974822998047,-50.8159578749449,28.1556887797515
"334",0,"marker",Jun 1996,956,1996,6,26.4713592529297,36.1796913146973,0.0366222113370895,27.9244365692139,-5.57623338699341,0.0219695959240198,0.00504248542711139,0.0102077452465892,-3384.73486328125,135.870193481445,-44.0560729263669,14.6686399198107
"335",0,"marker",Jun 1998,485,1998,6,17.7325668334961,36.0820350646973,-0.410473942756653,12.2074041366577,-4.9086446762085,0.0246269050985575,0.00447778170928359,0.00594806531444192,-3430.08520507812,356.447998046875,-11.739879186169,39.0634585701737
"336",0,"marker",Jul 2007,265,2007,7,21.1347694396973,36.6496772766113,-0.209051787853241,20.4474029541016,-5.39185619354248,0.0281705521047115,0.00243564555421472,0.0248024836182594,-2135.0048828125,346.850463867188,-13.6777318045633,30.0989817993871
"337",0,"marker",Jul 1993,593,1993,7,27.7714462280273,34.165470123291,0.260933250188828,16.1748104095459,-3.43697476387024,0.0181447360664606,0.00394517229869962,0.0915823727846146,-2704.70751953125,93.8541641235352,-58.741091451291,13.3459212295494
"338",0,"marker",Sep 1998,236,1998,9,15.0540180206299,32.6319160461426,-0.578020572662354,13.2755517959595,-6.64910840988159,0.0417612753808498,0.00229903846047819,0.0316064730286598,-90.0875015258789,8.86673069000244,-51.7413818222111,44.2076209452811
"339",0,"marker",Oct 1995,126,1995,10,7.99472045898438,33.6817512512207,-0.858790874481201,21.3629570007324,-3.98755145072937,0.135775968432426,0.0152974398806691,0.0859311148524284,-1256.21252441406,276.402679443359,-45.8775180686209,49.1111548894799
"340",0,"marker",Aug 1996,473,1996,8,26.624439239502,37.3714408874512,0.165410324931145,27.3140678405762,-5.14093255996704,0.0207941941916943,0.00297457631677389,0.0200865231454372,-4492.16015625,223.631622314453,-49.2515951116346,22.824000001677
"341",0,"marker",Jun 1998,485,1998,6,29.3088474273682,36.3246574401855,0.342722862958908,11.7496271133423,-6.49641752243042,0.108857944607735,0.00400246493518353,0.00965080037713051,-246.809997558594,216.127548217773,-79.1537734734353,23.1976468190334
"342",0,"marker",Aug 1996,473,1996,8,24.076997756958,34.8750267028809,-0.484939128160477,10.9866638183594,-2.16877555847168,0.0308869034051895,0.0308809690177441,0.0440937019884586,-3893.8525390625,119.003128051758,-47.5457378253761,41.5348856907587
"343",0,"marker",Jul 2003,344,2003,7,25.7770004272461,36.1995315551758,-0.127872556447983,10.8340711593628,-6.85662603378296,0.0211357362568378,0.00109800684731454,0.00677181640639901,-4086.31518554688,40.5515251159668,-22.537238155911,14.9757355632695
"344",0,"marker",Aug 1997,569,1997,8,26.4882049560547,36.9685974121094,-0.0357066541910172,21.6681423187256,-4.80422830581665,0.0128096332773566,0.00372213218361139,0.0137356836348772,-5435.64990234375,92.8080902099609,-38.6293433204182,18.6453352890412
"345",0,"marker",Jul 1997,518,1997,7,26.7958316802979,36.3170280456543,0.245368808507919,10.8340711593628,-5.64331674575806,0.0451668985188007,0.00291971047408879,0.0204866509884596,-5338.10986328125,12.8282918930054,-69.7416090964192,31.096351047239
